Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Use of Public Internet Computers,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1996,Andover,Tolland,109,2815,15000,5.3,1313,0.47,499,0.2,17028,5.6,117,860,0.3,,15285,5.4,56300,20,52915,18.8,10073,30996,44290,15.7
1996,Ansonia,New Haven,158,17825,91756,5.1,6952,0.39,,,71301,3.5,153,4525,0.3,,63685,3.6,320679,17.99,323503,18.15,45874,201621,270658,15.2
1996,Ashford-Babcock,Windham,131,3969,8665,2.2,1360,0.34,207,0.1,34574,8.6,22,780,0.2,,23818,6,111699,28.14,106713,26.89,11508,62295,82769,20.9
1996,Avon,Hartford,19,14143,162893,11.5,8808,0.62,15283,1.1,226137,11.9,345,9501,0.7,,74903,5.3,685678,48.48,602831,42.62,92711,340400,516583,36.5
1996,Beacon Falls,New Haven,129,5351,7000,1.3,1379,0.26,400,0.1,8880,1.7,22,223,0,,10042,1.9,40806,7.63,39256,7.34,4298,21585,39165,7.3
1996,Berlin-Peck,Hartford,52,16792,,,8142,0.48,6081,0.4,217517,11.6,376,,,,92322,5.5,638641,38.03,643771,38.34,92877,320919,480642,28.6
1996,Bethany - Clark,New Haven,54,4845,19500,4,3100,0.64,696,0.1,40500,8.3,45,395,0.1,,32178,6.6,46497,9.6,36483,7.53,9848,21720,39231,8.1
1996,Bethel,Fairfield,74,17921,155316,8.7,12546,0.7,16796,0.9,136014,6.7,186,4706,0.3,,83123,4.6,375789,20.97,371859,20.75,89167,229724,364548,20.3
1996,Bethlehem,Litchfield,73,3324,17478,5.3,1952,0.59,,,33532,9.9,37,670,0.2,,22966,6.9,62571,18.82,56000,16.85,5551,37448,47980,14.4
1996,Bloomfield - Prosser,Hartford,55,18546,,,9156,0.49,15408,0.8,194144,8.4,418,9935,0.5,,118282,6.4,708697,38.21,694710,37.46,88610,531196,678787,36.6
